NODE,MD_VERSION,SAMPLE_NUM,NTHREADS,WALLTIME(ms)
,SEQ,3,1,16390 161 173 167
,SEQ,8,1,16391
,SEQ,7,1,16392
,SEQ,10,1,16393
,SEQ,5,1,16393 162 161 146
,SEQ,6,1,16393
,SEQ,9,1,16393
,SEQ,4,1,16394 159 161 145
,SEQ,2,1,16399 161 309 141
,SEQ,1,1,16403 164 165 146
